Member name,Member_ID,hone_details,Email
Samuel Max,Y2-120,1234567890,samuelmax@lib.com
Jane Bux,Y2-122,3456789012,janeb@lib.com
Lisa Zam,Y2-124,9813483043,lisaz@lib.com
Aaron Clem,Y2-332,9129303478,caaron@lib.com
Zed Truth,Y2-131,3913747161,truthz@lib.com
Oprah Neil,Y2-425,579313891,oneil@lib.com
Zorra Jane,Y2-234,5278747191,janez@lib.com
Karl Simms,Y2-342,7820182481,simmsk@lib.com
Abbey Quid,Y2-128,6828053203,aquid@lib.com
Lyman Fer,Y2-341,8284927471,lyfer5@lib.com
Leroy Gika,Y2-311,2319348174,gikle21@lib.com
Hansel Tim,Y2-178,4285037281,hantim@lib.com
Xuid Oero,Y2-190,24850285022,xreod@lib.com
Yeath Bip,Y2-167,2398537201,yeabip@lib.com
Erin Will,Y2-231,3492103405,er3will@lib.com
Sam flint,Y2-111,4692629057,sam@lib.com
christopher flint,Y2-124, 48297570284,chris@lib.com
